LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,Concentration,ADC
5,0.6190093919688835,0.5856255882755739,0.4748819900755273,0.9157421121761732,0.01034318352367,40,230224,P0004,full,R1,ADC_fix,1,CGv1,10.0,1591.0
6,0.7914313760284977,0.7834956297692937,0.5950654996339988,1.0771512057620587,0.0113823927485117,39,230224,P0004,full,R1,ADC_fix,1,CGv1,20.0,1211.0
7,1.067428837263486,1.0704538990552088,0.8404566591043072,1.2819301522487356,0.0097253009191785,40,230224,P0004,full,R1,ADC_fix,1,CGv1,30.0,876.0
8,1.87508100136094,1.8680221705526512,1.508484158827481,2.290200125449533,0.0403943312222728,42,230224,P0004,full,R1,ADC_fix,1,CGv1,40.0,527.0
9,1.9184462258191293,1.8415359861047431,1.6339425600181536,2.665060587371664,0.0681027576568625,49,230224,P0004,full,R1,ADC_fix,1,CGv1,40.0,527.0
10,3.367390948905433,3.3242878594277903,2.849687501486228,4.426140246715162,0.0944330843141087,42,230224,P0004,full,R1,ADC_fix,1,CGv1,50.0,315.0
11,0.4178363881676145,0.3978316804533396,0.3226672880549212,0.6658098861633335,0.0053422119868343,45,230224,P0004,full,R1,ADC_fix,1,CGv1,0.0,2067.0
12,0.5914377992505732,0.5492156342809719,0.4300981237637113,0.9610170186665286,0.0147304823682919,52,230224,P0004,full,R1,ADC_fix,1,CGv1,10.0,1591.0
13,0.8454194266300962,0.7894363971790956,0.6520385766193177,1.2834013975332268,0.0228405753381447,62,230224,P0004,full,R1,ADC_fix,1,CGv1,20.0,1211.0
14,1.144546831126657,1.08279558899914,0.9488041443946288,1.512548300489902,0.0245228073207153,51,230224,P0004,full,R1,ADC_fix,1,CGv1,30.0,876.0
1,1.103865269018718,1.063831525840064,0.5057659195116896,1.829830851655249,0.0874541299113071,42,230224,P0004,full,R2,T1mimics_fix,1,online,0.29,
2,1.182356186423552,1.1877624839940883,0.7085494249762821,1.6313625970822043,0.055373303060712,54,230224,P0004,full,R2,T1mimics_fix,1,online,0.6,
3,1.3435973550208586,1.3273408941067952,0.6916025360746729,2.2944576102584464,0.087343889694303,58,230224,P0004,full,R2,T1mimics_fix,1,online,1.04,
4,1.788140092665193,1.7758883484281942,1.2025744243411134,2.657101036828125,0.0893740631845515,47,230224,P0004,full,R2,T1mimics_fix,1,online,1.64,
5,2.3874093667930003,2.320382260763501,1.649980144552472,3.408889128592051,0.125089911919252,54,230224,P0004,full,R2,T1mimics_fix,1,online,2.52,
6,2.9712334473035527,2.961936187788176,2.5270615716217675,3.4413450798312493,0.0342150957121178,49,230224,P0004,full,R2,T1mimics_fix,1,online,3.68,
