LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
9.0,0.3301710802039421,204.0,609.0,8639.290909090907,P0003,20231004161510,2,T2,8.6.0
10.0,0.10315568269129187,45.0,280.0,3552.3606078316766,P0003,20231004161510,2,T2,8.6.0
11.0,0.06732440042440473,29.0,170.0,1133.571428571429,P0003,20231004161510,2,T2,8.6.0
12.0,0.10986059218134217,44.0,287.0,4424.098003629762,P0003,20231004161510,2,T2,8.6.0
13.0,0.1213328616544134,28.0,382.0,7161.690111052352,P0003,20231004161510,2,T2,8.6.0
14.0,0.11926396143652991,36.0,297.0,3851.930288461539,P0003,20231004161510,2,T2,8.6.0
1.0,1.7574744736850796,204.0,3815.0,606559.6844053257,P0003,20231005183315,1,T1,8.6.0
2.0,1.903521979908796,774.0,3679.0,412096.3093443676,P0003,20231005183315,1,T1,8.6.0
3.0,1.9014643821533455,948.0,3565.0,280758.26952946547,P0003,20231005183315,1,T1,8.6.0
4.0,1.669050821822859,651.0,3351.0,410728.3724748784,P0003,20231005183315,1,T1,8.6.0
5.0,1.647213154198901,912.0,3730.0,318731.1018651362,P0003,20231005183315,1,T1,8.6.0
6.0,1.5400747308970764,596.0,3154.0,231616.59956958363,P0003,20231005183315,1,T1,8.6.0
7.0,1.2080293957220296,66.0,2374.0,192978.2326488808,P0003,20231005183315,1,T1,8.6.0
8.0,0.8530365286260231,13.0,1791.0,133720.07259291466,P0003,20231005183315,1,T1,8.6.0
9.0,0.6536628837793895,279.0,1305.0,37055.41261783896,P0003,20231005183315,1,T1,8.6.0
10.0,0.3325478474776256,83.0,768.0,16352.645296049455,P0003,20231005183315,1,T1,8.6.0
11.0,0.1781832331584534,40.0,675.0,15773.270232453173,P0003,20231005183315,1,T1,8.6.0
12.0,0.1253779726528212,48.0,492.0,6935.189437643639,P0003,20231005183315,1,T1,8.6.0
13.0,0.10549215802732209,20.0,452.0,7689.030645511844,P0003,20231005183315,1,T1,8.6.0
14.0,0.12487043789027667,34.0,843.0,19656.40101205857,P0003,20231005183315,1,T1,8.6.0
1.0,2.1445150368148256,2156.0,3267.0,67108.13430127031,P0003,20231005183315,1,T2,8.6.0
2.0,2.1530104013833884,2330.0,3244.0,57423.76017979911,P0003,20231005183315,1,T2,8.6.0
3.0,1.9348174210229403,2103.0,2838.0,34036.2186716795,P0003,20231005183315,1,T2,8.6.0
